団体コード,"都道府県名（漢字）","市区町村名（漢字）","都道府県名（カナ）","市区町村名（カナ）","議事録検索URL","人口","人口基準年"
010006,北海道,,ﾎｯｶｲﾄﾞｳ,,http://www.gikai.pref.hokkaido.lg.jp/kaigiroku/index.htm,4979204,2025
011002,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,http://sapporo.gijiroku.com/voices/g07v_search.asp,1935013,2025
012025,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,https://ssp.kaigiroku.net/tenant/hakodate/SpMinuteSearch.html,234606,2025
012033,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,http://local-politics.jp/otaru/#/hatsugen,103343,2025
012041,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,https://ssp.kaigiroku.net/tenant/asahikawa/SpMinuteSearch.html,314269,2025
012050,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,https://ssp.kaigiroku.net/tenant/muroran/MinuteSearch.html,74274,2025
012068,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,https://ssp.kaigiroku.net/tenant/kushiro/MinuteSearch.html,152936,2025
012076,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,https://ssp.kaigiroku.net/tenant/obihiro/SpMinuteSearch.html,159280,2025
012084,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,https://ssp.kaigiroku.net/tenant/kitami/MinuteSearch.html?tab=detail,109214,2025
012092,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,https://www.city.yubari.lg.jp/site/gikai/,6085,2025
012106,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,https://iwamizawa-gikai.gijiroku.com/voices/g07v_search.asp,73843,2025
012114,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,https://www.city.abashiri.hokkaido.jp/site/gikai/1581.html,31656,2025
012122,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,https://rumoi.gijiroku.com/index.asp,17951,2025
012131,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,https://ssp.kaigiroku.net/tenant/tomakomai/SpMinuteSearch.html,163950,2025
012149,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,https://ssp.kaigiroku.net/tenant/wakkanai/MinuteSearch.html?tab=detail,29612,2025
012157,北海道,美唄市,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾊﾞｲｼ,https://ssp.kaigiroku.net/tenant/bibai/SpTop.html,18311,2025
012165,北海道,芦別市,ﾎｯｶｲﾄﾞｳ,ｱｼﾍﾞﾂｼ,https://ssp.kaigiroku.net/tenant/ashibetsu/SpMinuteSearch.html,11195,2025
012173,北海道,江別市,ﾎｯｶｲﾄﾞｳ,ｴﾍﾞﾂｼ,https://www.city.ebetsu.hokkaido.jp/site/gijiroku1/,116960,2025
012181,北海道,赤平市,ﾎｯｶｲﾄﾞｳ,ｱｶﾋﾞﾗｼ,https://ssp.kaigiroku.net/tenant/akabira/SpTop.html,8309,2025
012190,北海道,紋別市,ﾎｯｶｲﾄﾞｳ,ﾓﾝﾍﾞﾂｼ,https://mombetsu.jp/gikai/minutes/,19027,2025
012203,北海道,士別市,ﾎｯｶｲﾄﾞｳ,ｼﾍﾞﾂｼ,https://www.city.shibetsu.lg.jp/soshikikarasagasu/gikaijimukyoku/kaigirokukennsaku/index.html,16280,2025
012211,北海道,名寄市,ﾎｯｶｲﾄﾞｳ,ﾅﾖﾛｼ,https://ssp.kaigiroku.net/tenant/nayoro/SpTop.html,24624,2025
012220,北海道,三笠市,ﾎｯｶｲﾄﾞｳ,ﾐｶｻｼ,https://www.city.mikasa.hokkaido.jp/hotnews/category/307.html,7224,2025
012238,北海道,根室市,ﾎｯｶｲﾄﾞｳ,ﾈﾑﾛｼ,https://ssp.kaigiroku.net/tenant/nemuro/MinuteSearch.html,21751,2025
012246,北海道,千歳市,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,https://ssp.kaigiroku.net/tenant/chitose/MinuteSearch.html,96031,2025
012254,北海道,滝川市,ﾎｯｶｲﾄﾞｳ,ﾀｷｶﾜｼ,https://www.city.takikawa.lg.jp/page/2872.html,36373,2025
012262,北海道,砂川市,ﾎｯｶｲﾄﾞｳ,ｽﾅｶﾞﾜｼ,https://www.city.sunagawa.hokkaido.jp/shisei/shigikai/kaigiroku/index.html,15171,2025
012271,北海道,歌志内市,ﾎｯｶｲﾄﾞｳ,ｳﾀｼﾅｲｼ,https://www.city.utashinai.hokkaido.jp/hotnews/detail/00003817.html,2567,2025
012289,北海道,深川市,ﾎｯｶｲﾄﾞｳ,ﾌｶｶﾞﾜｼ,http://fukagawa.gijiroku.com/voices/g08v_search.asp,18166,2025
012297,北海道,富良野市,ﾎｯｶｲﾄﾞｳ,ﾌﾗﾉｼ,https://www.city.furano.hokkaido.jp/shigikai/zokusei/gijiroku/,18997,2025
012301,北海道,登別市,ﾎｯｶｲﾄﾞｳ,ﾉﾎﾞﾘﾍﾞﾂｼ,https://ssp.kaigiroku.net/tenant/noboribetsu/MinuteSearch.html,43179,2025
012319,北海道,恵庭市,ﾎｯｶｲﾄﾞｳ,ｴﾆﾜｼ,https://ssp.kaigiroku.net/tenant/eniwa/MinuteSearch.html?tab=detail,69348,2025
012335,北海道,伊達市,ﾎｯｶｲﾄﾞｳ,ﾀﾞﾃｼ,https://ssp.kaigiroku.net/tenant/date/SpMinuteSearch.html,30845,2025
012343,北海道,北広島市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾛｼﾏｼ,https://ssp.kaigiroku.net/tenant/kitahiroshima/MinuteSearch.html?tab=detail,55966,2025
012351,北海道,石狩市,ﾎｯｶｲﾄﾞｳ,ｲｼｶﾘｼ,https://ssp.kaigiroku.net/tenant/ishikari/SpMinuteSearch.html,56248,2025
012360,北海道,北斗市,ﾎｯｶｲﾄﾞｳ,ﾎｸﾄｼ,https://ssp.kaigiroku.net/tenant/hokuto/SpMinuteSearch.html,42439,2025
013030,北海道,当別町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾍﾞﾂﾁｮｳ,https://www.town.tobetsu.hokkaido.jp/site/gikai/18717.html,14874,2025
013048,北海道,新篠津村,ﾎｯｶｲﾄﾞｳ,ｼﾝｼﾉﾂﾑﾗ,https://www.vill.shinshinotsu.hokkaido.jp/hotnews/category/40.html,2717,2025
013315,北海道,松前町,ﾎｯｶｲﾄﾞｳ,ﾏﾂﾏｴﾁｮｳ,https://www.town.matsumae.hokkaido.jp/hotnews/detail/00000317.html,5768,2025
013323,北海道,福島町,ﾎｯｶｲﾄﾞｳ,ﾌｸｼﾏﾁｮｳ,https://www.town.fukushima.hokkaido.jp/gikai/,3344,2025
013331,北海道,知内町,ﾎｯｶｲﾄﾞｳ,ｼﾘｳﾁﾁｮｳ,https://www.town.shiriuchi.hokkaido.jp/chosei/gikai/kaigiroku/,3719,2025
013340,北海道,木古内町,ﾎｯｶｲﾄﾞｳ,ｷｺﾅｲﾁｮｳ,https://www.town.kikonai.hokkaido.jp/gikai/kaigiroku/,3506,2025
013374,北海道,七飯町,ﾎｯｶｲﾄﾞｳ,ﾅﾅｴﾁｮｳ,https://www.town.nanae.hokkaido.jp/hotnews/category/471.html,26947,2025
013439,北海道,鹿部町,ﾎｯｶｲﾄﾞｳ,ｼｶﾍﾞﾁｮｳ,https://www.town.shikabe.lg.jp/choseijoho/chogikai/index.html,3331,2025
013455,北海道,森町,ﾎｯｶｲﾄﾞｳ,ﾓﾘﾏﾁ,https://www.town.hokkaido-mori.lg.jp/gyoseijoho/gikai/1037.html,12962,2025
013463,北海道,八雲町,ﾎｯｶｲﾄﾞｳ,ﾔｸﾓﾁｮｳ,https://www.town.yakumo.lg.jp/site/gikai/list26.html,14058,2025
013471,北海道,長万部町,ﾎｯｶｲﾄﾞｳ,ｵｼｬﾏﾝﾍﾞﾁｮｳ,https://www.town.oshamambe.lg.jp/site/gikai/list28.html,4416,2025
013617,北海道,江差町,ﾎｯｶｲﾄﾞｳ,ｴｻｼﾁｮｳ,https://www.hokkaido-esashi.jp/gikai/gikai.html,6572,2025
013625,北海道,上ノ国町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾉｸﾆﾁｮｳ,https://www.town.kaminokuni.lg.jp/hotnews/category_sp/221.html,4086,2025
013633,北海道,厚沢部町,ﾎｯｶｲﾄﾞｳ,ｱｯｻﾌﾞﾁｮｳ,https://www.town.assabu.lg.jp/site/gikai/list32.html,3228,2025
013641,北海道,乙部町,ﾎｯｶｲﾄﾞｳ,ｵﾄﾍﾞﾁｮｳ,https://www.town.otobe.lg.jp/section/gikai/,3074,2025
013676,北海道,奥尻町,ﾎｯｶｲﾄﾞｳ,ｵｸｼﾘﾁｮｳ,https://www.town.okushiri.lg.jp/hotnews/category/114.html,2131,2025
013706,北海道,今金町,ﾎｯｶｲﾄﾞｳ,ｲﾏｶﾈﾁｮｳ,https://www.town.imakane.lg.jp/ass/kaigiroku/,4433,2025
013714,北海道,せたな町,ﾎｯｶｲﾄﾞｳ,ｾﾀﾅﾁｮｳ,https://www.town.setana.lg.jp/gikai/kaigiroku/,6645,2025
013919,北海道,島牧村,ﾎｯｶｲﾄﾞｳ,ｼﾏﾏｷﾑﾗ,,1244,2025
013927,北海道,寿都町,ﾎｯｶｲﾄﾞｳ,ｽｯﾂﾁｮｳ,http://www.town.suttu.lg.jp/town/detail.php?id=63,2541,2025
013935,北海道,黒松内町,ﾎｯｶｲﾄﾞｳ,ｸﾛﾏﾂﾅｲﾁｮｳ,,2406,2025
013943,北海道,蘭越町,ﾎｯｶｲﾄﾞｳ,ﾗﾝｺｼﾁｮｳ,https://www.town.rankoshi.hokkaido.jp/administration/town/detail.html?content=301,4273,2025
013951,北海道,ニセコ町,ﾎｯｶｲﾄﾞｳ,ﾆｾｺﾁｮｳ,https://www.town.niseko.lg.jp/chosei/gikai/kaigi,4498,2025
013960,北海道,真狩村,ﾎｯｶｲﾄﾞｳ,ﾏｯｶﾘﾑﾗ,https://www.vill.makkari.lg.jp/songikai/kaigiroku/,1851,2025
013978,北海道,留寿都村,ﾎｯｶｲﾄﾞｳ,ﾙｽﾂﾑﾗ,,1619,2025
013986,北海道,喜茂別町,ﾎｯｶｲﾄﾞｳ,ｷﾓﾍﾞﾂﾁｮｳ,,1831,2025
013994,北海道,京極町,ﾎｯｶｲﾄﾞｳ,ｷｮｳｺﾞｸﾁｮｳ,,2638,2025
014001,北海道,倶知安町,ﾎｯｶｲﾄﾞｳ,ｸｯﾁｬﾝﾁｮｳ,https://ssp.kaigiroku.net/tenant/kutchan/SpMinuteSearch.html,13493,2025
014010,北海道,共和町,ﾎｯｶｲﾄﾞｳ,ｷｮｳﾜﾁｮｳ,https://www.town.kyowa.hokkaido.jp/education/?content=91,5315,2025
014028,北海道,岩内町,ﾎｯｶｲﾄﾞｳ,ｲﾜﾅｲﾁｮｳ,,10760,2025
014036,北海道,泊村,ﾎｯｶｲﾄﾞｳ,ﾄﾏﾘﾑﾗ,,1408,2025
014044,北海道,神恵内村,ﾎｯｶｲﾄﾞｳ,ｶﾓｴﾅｲﾑﾗ,,739,2025
014052,北海道,積丹町,ﾎｯｶｲﾄﾞｳ,ｼｬｺﾀﾝﾁｮｳ,https://www.town.shakotan.lg.jp/contents/content0730.html,1687,2025
014061,北海道,古平町,ﾎｯｶｲﾄﾞｳ,ﾌﾙﾋﾞﾗﾁｮｳ,https://www.town.furubira.lg.jp/town/detail.php?id=59,2529,2025
014079,北海道,仁木町,ﾎｯｶｲﾄﾞｳ,ﾆｷﾁｮｳ,https://www.town.niki.hokkaido.jp/section/gikai/,2981,2025
014087,北海道,余市町,ﾎｯｶｲﾄﾞｳ,ﾖｲﾁﾁｮｳ,https://www.town.yoichi.hokkaido.jp/gikai/kaigiroku/,16696,2025
014095,北海道,赤井川村,ﾎｯｶｲﾄﾞｳ,ｱｶｲｶﾞﾜﾑﾗ,https://www.akaigawa.com/kurashi/gikai_jimukyoku/post_95.html,965,2025
014231,北海道,南幌町,ﾎｯｶｲﾄﾞｳ,ﾅﾝﾎﾟﾛﾁｮｳ,https://www.town.nanporo.hokkaido.jp/about/politics/council/conference/,7847,2025
014249,北海道,奈井江町,ﾎｯｶｲﾄﾞｳ,ﾅｲｴﾁｮｳ,,4673,2025
014257,北海道,上砂川町,ﾎｯｶｲﾄﾞｳ,ｶﾐｽﾅｶﾞﾜﾁｮｳ,https://town.kamisunagawa.hokkaido.jp/gikai_jimukyoku/kekka/index.html,2329,2025
014273,北海道,由仁町,ﾎｯｶｲﾄﾞｳ,ﾕﾆﾁｮｳ,https://www.town.yuni.lg.jp/chosei/gikai/teireikai,4484,2025
014281,北海道,長沼町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾞﾇﾏﾁｮｳ,,9863,2025
014290,北海道,栗山町,ﾎｯｶｲﾄﾞｳ,ｸﾘﾔﾏﾁｮｳ,https://www.town.kuriyama.hokkaido.jp/site/gikai/7389.html,10579,2025
014303,北海道,月形町,ﾎｯｶｲﾄﾞｳ,ﾂｷｶﾞﾀﾁｮｳ,https://ssp.kaigiroku.net/tenant/tsukigata/SpMinuteSearch.html,2722,2025
014311,北海道,浦臼町,ﾎｯｶｲﾄﾞｳ,ｳﾗｳｽﾁｮｳ,,1566,2025
014320,北海道,新十津川町,ﾎｯｶｲﾄﾞｳ,ｼﾝﾄﾂｶﾜﾁｮｳ,,6199,2025
014338,北海道,妹背牛町,ﾎｯｶｲﾄﾞｳ,ﾓｾｳｼﾁｮｳ,https://www.town.moseushi.hokkaido.jp/gikai/gijiroku/,2512,2025
014346,北海道,秩父別町,ﾎｯｶｲﾄﾞｳ,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ,,2177,2025
014362,北海道,雨竜町,ﾎｯｶｲﾄﾞｳ,ｳﾘｭｳﾁｮｳ,,2025,2025
